ISCO;Beschreibung
110;Offiziere in regulären Streitkräften
210;Unteroffiziere in regulären Streitkräften
310;Angehörige der regulären Streitkräfte in sonstigen Rängen
1111;Angehörige gesetzgebender Körperschaften
1112;Leitende Verwaltungsbedienstete
1113;Traditionelle Dorf- und Stammeshäuptlinge
1114;Leitende Bedienstete von Interessenorganisationen
1120;Geschäftsführer und Vorstände
1211;Führungskräfte im Bereich Finanzen
1212;Führungskräfte im Personalwesen
1213;Führungskräfte in Unternehmenspolitik und -planung
1219;Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt
1221;Führungskräfte in Vertrieb und Marketing
1222;Führungskräfte in Werbung und Öffentlichkeitsarbeit
1223;Führungskräfte in Forschung und Entwicklung
1311;Führungskräfte in der Produktion in Land- und Forstwirtschaft
1312;Führungskräfte in der Produktion in Aquakultur und Fischerei
1321;Führungskräfte in der Produktion bei der Herstellung von Waren
1322;Führungskräfte in der Produktion im Bergbau
1323;Führungskräfte in der Produktion im Bau
1324;Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen
1330;Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie
1341;Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung
1342;Führungskräfte in der Erbringung von Dienstleistungen im Gesundheitswesen
1343;Führungskräfte in der Erbringung von Dienstleistungen der Altenbetreuung
1344;Führungskräfte in der Erbringung von Dienstleistungen der Sozialfürsorge
1345;Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens
1346;Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen
1349;Führungskräfte in der Erbringung von speziellen Dienstleistungen, anderweitig nicht genannt
1411;Führungskräfte in Hotels
1412;Führungskräfte in Restaurants
1420;Führungskräfte in Groß- und Einzelhandel
1431;Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur
1439;Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt
2111;Physiker und Astronomen
2112;Meteorologen
2113;Chemiker
2114;Geologen und Geophysiker
2120;Mathematiker, Versicherungsmathematiker und Statistiker
2131;Biologen, Botaniker, Zoologen und verwandte Berufe
2132;Agrar-, Forst- und Fischereiwissenschaftler und -berater
2133;Umweltwissenschaftler
2141;Wirtschafts- und Produktionsingenieure
2142;Bauingenieure
2143;Umweltschutzingenieure
2144;Maschinenbauingenieure
